post_id,image1_name,comments_count,caption,labels
anshukayoga_403394_2980015710008403800_3087_133,2022-11-26_12-26-17_UTC.jpg,133,"A honour and privilege I will always be grateful for 🙏🏻🧘‍♀️

Received the Dadasaheb Phalke Icon Awards 2022 for the “Best Celebrity Yoga & Wellness Expert.”

To achieving many more milestones in life and always being grateful💙

#DadasahebPhalkeAward #DadasahebPhalkeAwards #DadasahebPhalkeAwards2022 #Yoga #YogaGirl #YogaDaily #AnshukaYogaWellness #YogaMumbai #AnshukaParwani #AnshukaYoga
","Product,Flooring,Smile,Fashion design,Beauty,Event,One-piece garment,Magenta,Carpet,Formal wear,"
santoshishetty_746384_3016966416826776493_7112_30,2023-01-16_12-00-44_UTC_1.jpg,30,"Was looking for some photos with @pryanca_t to post as it’s madam’s bday and realised that pics from this day never went up on the gram. So took this opportunity to post it all! Wishing you the best of best sister and wishing us more of these 😍✨☀️🌊🍕 
Happy Happy Bday! 😘
","Glasses,Plant,Shoulder,Shorts,Vision care,Sunglasses,Waist,Thigh,Goggles,Eyewear,"
sachintendulkar_39433992_3033645984018219249_2464745_8790,2023-02-08_12-20-04_UTC_1.jpg,8790,"Can you guess the city?

#travel #travelgram
","Building,Sky,Water,Smile,Photograph,Skyscraper,Tower,Standing,Happy,Travel,"
hbomax_3056324_3057101339109716519_20102_73,2023-03-12_21-01-40_UTC.jpg,73,"By your side. 

The season finale of #TheLastofUs is streaming tonight on @hbo via HBO Max.
","Comfort,Flash photography,Fun,Darkness,Art,Sitting,Event,Lap,Room,Reading,"
ajinkyarahane_4701882_2982886863247728429_95689_133,2022-11-30_11-30-45_UTC.jpg,133,"Our experience with Reelabs has been extremely pleasing.

To give you a gist of what ReeLabs is, It is for starters the only bank in the country that has the permission to preserve Placental Stem Cells. 

The Placental Stem Cells are the richest source of stem cells and should the need arise they can help the baby in future for medical procedures. 

ReeLabs is based in Mumbai and is headed by professional doctors and scientists from India and Ukraine! 

It has been a great journey for us with @reelabs
","Joint,Smile,Arm,Shoulder,Beard,Neck,Sleeve,Happy,Flash photography,Gesture,"
anshukayoga_403394_3041608880582328612_1088_10,2023-02-19_12-00-00_UTC_1.jpg,10,"The only limit is in your mind 👨🏾‍🦳🧑🏽‍🦳❤️

Yoga asanas can be practiced by everyone, there is no age bar as to when you should start and stop practicing this discipline.

It has umpteen benefits for the elders, it helps them to stay physically active and also supports their mental and emotional well-being.

Of course, check contra-indications, with your doctor etc before following the above but I know that your practice can be modified no matter what age you are 🤍

#YogaAddict #YogaPoses #YogaEveryday #YogaDaily #AnshukaYogaWellness #YogaMumbai #AnshukaParwani #AnshukaYoga
","Joint,Shoulder,White,Blue,Azure,Sleeve,Standing,Knee,Yellow,Comfort,"
jimkwik_2036288_3060057570765025236_2029_206,2023-03-16_22-55-12_UTC_1.jpg,206,"Are you giving your brain the support it needs? 🧠⁠
⁠
What's your go-to brain-boosting solution?⁠
⁠
Share your thoughts and experiences in the comments below! 👇⁠
⁠
—————————⁠
📚Reference:⁠
The Royal Society. ""Boost Your Brain Power: Creatine, A Compound Found In Muscle Tissue, Found To Improve Working Memory And General Intelligence."" ScienceDaily. ScienceDaily, 13 August 2003.
","Font,Terrestrial plant,Circle,Document,"
deepak_chahar9_2363731_3050105932444040260_268179_298,2023-03-03_05-23-02_UTC.jpg,298,"THE BOYS.  #FITNESSCAMP
","Smile,Face,Food,Table,Muscle,Chair,Yellow,T-shirt,Leisure,Hat,"
anshukayoga_403394_2998862459564988182_2240_12,2022-12-22_12-31-24_UTC_1.jpg,12,"New year mantra - stretch • breathe • repeat 🧘🏻‍♀️🧘💙

With a Yoga buddy by your side, it’s double the fun 🙌🏻

#Yoga #YogaBuddy #YogaPoses #YogaGirl #YogaDaily #YogaFlows #YogaAsana #AnshukaYogaWellness #YogaMumbai #AnshukaParwani #AnshukaYoga
","Joint,Green,Interior design,Floor,Flooring,Leisure,House,Building,Fun,Wood,"
santoshishetty_746384_2995789158456078140_14964_97,2022-12-18_06-45-18_UTC_1.jpg,97,"29 looking yummy!🤤🎂💕 Grateful for this life & love! ❤️❤️❤️
Thank you for your loving wishes & thank you for celebrating 😍😘🫶💃🏻✨
","Arm,Window,Dress,Flash photography,Waist,Curtain,Thigh,Comfort,Wood,Trunk,"
